year,month,temp,ADM2_NAME
2016,Sep,25.96544923,Mpanda Urban
2016,Sep,25.43958142,Administrative unit not available
2016,Oct,26.39682153,Mlele
2016,Oct,24.52728902,Mpanda Rural
2016,Oct,26.90933074,Mpanda Urban
2016,Oct,26.81753871,Administrative unit not available
2016,Nov,25.66521662,Mlele
2016,Nov,22.6624388,Mpanda Rural
2016,Nov,25.48376607,Mpanda Urban
2016,Nov,26.11563339,Administrative unit not available
2016,Dec,23.15673812,Mlele
2016,Dec,21.1895271,Mpanda Rural
2016,Dec,23.02607453,Mpanda Urban
2016,Dec,24.92960072,Administrative unit not available
2017,Jan,23.10671032,Mlele
2017,Jan,21.51464772,Mpanda Rural
2017,Jan,23.08278668,Mpanda Urban
2017,Jan,25.25996899,Administrative unit not available
2017,Feb,22.73368208,Mlele
2017,Feb,21.28096701,Mpanda Rural
2017,Feb,22.76789215,Mpanda Urban
2017,Feb,25.01548553,Administrative unit not available
2017,Mar,22.40122604,Mlele
2017,Mar,21.1472445,Mpanda Rural
2017,Mar,22.54298949,Mpanda Urban
2017,Mar,24.84713212,Administrative unit not available
2017,Apr,22.54346232,Mlele
2017,Apr,21.63386981,Mpanda Rural
2017,Apr,22.82813524,Mpanda Urban
2017,Apr,25.01730887,Administrative unit not available
2017,May,23.22712158,Mlele
2017,May,22.02404186,Mpanda Rural
2017,May,23.48746515,Mpanda Urban
2017,May,25.06558482,Administrative unit not available
2017,Jun,23.1424618,Mlele
2017,Jun,22.24774459,Mpanda Rural
2017,Jun,23.51643812,Mpanda Urban
2017,Jun,24.31297987,Administrative unit not available
2017,Jul,22.97305868,Mlele
2017,Jul,22.2705707,Mpanda Rural
2017,Jul,23.58909037,Mpanda Urban
2017,Jul,23.71082674,Administrative unit not available
2017,Aug,24.17845073,Mlele
2017,Aug,23.16324516,Mpanda Rural
2017,Aug,24.6421051,Mpanda Urban
2017,Aug,24.60057405,Administrative unit not available
2017,Sep,25.29698668,Mlele
2017,Sep,24.18024237,Mpanda Rural
2017,Sep,25.98898425,Mpanda Urban
2017,Sep,25.87544958,Administrative unit not available
2017,Oct,25.68429066,Mlele
2017,Oct,23.31501353,Mpanda Rural
2017,Oct,25.56148227,Mpanda Urban
2017,Oct,26.42688517,Administrative unit not available
2017,Nov,22.88864487,Mlele
2017,Nov,21.17306889,Mpanda Rural
2017,Nov,22.88998726,Mpanda Urban
2017,Nov,24.70377653,Administrative unit not available
2017,Dec,22.22013377,Mlele
2017,Dec,20.75376216,Mpanda Rural
2017,Dec,22.10478872,Mpanda Urban
2017,Dec,24.4276176,Administrative unit not available
2018,Jan,21.34635918,Mlele
2018,Jan,20.31247115,Mpanda Rural
2018,Jan,21.46147714,Mpanda Urban
2018,Jan,23.88349547,Administrative unit not available
2018,Feb,23.05528622,Mlele
2018,Feb,21.77021808,Mpanda Rural
2018,Feb,23.05516211,Mpanda Urban
2018,Feb,25.49654809,Administrative unit not available
2018,Mar,21.87303159,Mlele
2018,Mar,20.90658007,Mpanda Rural
2018,Mar,22.1107718,Mpanda Urban
2018,Mar,24.33969094,Administrative unit not available
2018,Apr,21.08298956,Mlele
2018,Apr,20.11842377,Mpanda Rural
2018,Apr,21.3968557,Mpanda Urban
2018,Apr,23.72740111,Administrative unit not available
2018,May,22.01830058,Mlele
2018,May,21.00451029,Mpanda Rural
2018,May,22.36686471,Mpanda Urban
2018,May,24.75032423,Administrative unit not available
2018,Jun,21.83016878,Mlele
2018,Jun,20.96585019,Mpanda Rural
2018,Jun,22.28931594,Mpanda Urban
2018,Jun,23.70752777,Administrative unit not available
2018,Jul,21.31533396,Mlele
2018,Jul,20.66237225,Mpanda Rural
2018,Jul,21.54723774,Mpanda Urban
2018,Jul,22.68764565,Administrative unit not available
2018,Aug,23.30694776,Mlele
2018,Aug,22.51289718,Mpanda Rural
2018,Aug,23.87037607,Mpanda Urban
2018,Aug,24.06508425,Administrative unit not available
2018,Sep,25.51258347,Mlele
2018,Sep,24.56824088,Mpanda Rural
2018,Sep,26.19935568,Mpanda Urban
2018,Sep,26.02388288,Administrative unit not available
2018,Oct,26.07759231,Mlele
2018,Oct,23.75125167,Mpanda Rural
2018,Oct,26.03176876,Mpanda Urban
2018,Oct,26.24018365,Administrative unit not available
2018,Nov,24.66450249,Mlele
2018,Nov,22.35725035,Mpanda Rural
2018,Nov,24.56624443,Mpanda Urban
2018,Nov,25.7416408,Administrative unit not available
2018,Dec,22.50017872,Mlele
2018,Dec,20.97712321,Mpanda Rural
2018,Dec,22.58111483,Mpanda Urban
2018,Dec,24.49588723,Administrative unit not available
2019,Jan,22.78500663,Mlele
2019,Jan,21.34987589,Mpanda Rural
2019,Jan,22.76928094,Mpanda Urban
2019,Jan,24.88251106,Administrative unit not available
2019,Feb,23.20001257,Mlele
2019,Feb,21.88806052,Mpanda Rural
2019,Feb,23.33390629,Mpanda Urban
2019,Feb,25.55544503,Administrative unit not available
2019,Mar,23.86317087,Mlele
2019,Mar,22.14486123,Mpanda Rural
2019,Mar,23.66350503,Mpanda Urban
2019,Mar,25.93795622,Administrative unit not available
2019,Apr,22.85112271,Mlele
