year,month,temp,ward
2012,Jul,19.91858703,Mbarali
2012,Jul,16.304687,Mbeya Rural
2012,Jul,18.20981975,Mbozi
2012,Jul,19.94054571,Momba
2012,Jul,20.39517228,Chunya
2012,Jul,14.86122553,Ileje
2012,Jul,17.7280685,Kyela
2012,Jul,15.58303814,Mbeya Urban
2012,Jul,14.80831959,Rungwe
2012,Jul,16.72954924,Tunduma
2012,Jul,22.80580106,Administrative unit not available
2012,Aug,21.43334465,Mbarali
2012,Aug,18.31471867,Mbeya Rural
2012,Aug,20.23153255,Mbozi
2012,Aug,21.95775723,Momba
2012,Aug,22.12625407,Chunya
2012,Aug,17.21487697,Ileje
2012,Aug,19.95494272,Kyela
2012,Aug,17.61964599,Mbeya Urban
2012,Aug,17.06961612,Rungwe
2012,Aug,18.97181714,Tunduma
2012,Aug,24.32514295,Administrative unit not available
2012,Sep,22.9382207,Mbarali
2012,Sep,20.33533987,Mbeya Rural
2012,Sep,22.42916017,Mbozi
2012,Sep,24.20039898,Momba
2012,Sep,23.94190538,Chunya
2012,Sep,19.63235379,Ileje
2012,Sep,22.62145472,Kyela
2012,Sep,19.56646392,Mbeya Urban
2012,Sep,19.58772596,Rungwe
2012,Sep,21.28007423,Tunduma
2012,Sep,26.14205079,Administrative unit not available
2012,Oct,24.55614136,Mbarali
2012,Oct,21.52648746,Mbeya Rural
2012,Oct,23.91513175,Mbozi
2012,Oct,25.83515583,Momba
2012,Oct,25.3259638,Chunya
2012,Oct,21.36568267,Ileje
2012,Oct,24.25303054,Kyela
2012,Oct,20.55405051,Mbeya Urban
2012,Oct,20.89693438,Rungwe
2012,Oct,22.9439723,Tunduma
2012,Oct,27.7123769,Administrative unit not available
2012,Nov,23.92865395,Mbarali
2012,Nov,20.25663772,Mbeya Rural
2012,Nov,21.91057576,Mbozi
2012,Nov,23.53197465,Momba
2012,Nov,23.58188382,Chunya
2012,Nov,20.20987901,Ileje
2012,Nov,23.31288235,Kyela
2012,Nov,19.33830522,Mbeya Urban
2012,Nov,19.93754321,Rungwe
2012,Nov,21.07836251,Tunduma
2012,Nov,26.12692387,Administrative unit not available
2012,Dec,23.21586528,Mbarali
2012,Dec,19.59995478,Mbeya Rural
2012,Dec,20.97250129,Mbozi
2012,Dec,22.5105625,Momba
2012,Dec,22.21532208,Chunya
2012,Dec,19.89673992,Ileje
2012,Dec,23.00384265,Kyela
2012,Dec,18.83047374,Mbeya Urban
2012,Dec,19.95708528,Rungwe
2012,Dec,20.2768252,Tunduma
2012,Dec,24.66129766,Administrative unit not available
2013,Jan,22.26311863,Mbarali
2013,Jan,19.23803295,Mbeya Rural
2013,Jan,20.40947711,Mbozi
2013,Jan,21.73958326,Momba
2013,Jan,21.50979884,Chunya
2013,Jan,20.12400389,Ileje
2013,Jan,23.73919879,Kyela
2013,Jan,18.41863427,Mbeya Urban
2013,Jan,20.47112315,Rungwe
2013,Jan,19.88195043,Tunduma
2013,Jan,24.521342,Administrative unit not available
2013,Feb,22.89961338,Mbarali
2013,Feb,19.41058584,Mbeya Rural
2013,Feb,20.54175474,Mbozi
2013,Feb,21.81470358,Momba
2013,Feb,22.03804813,Chunya
2013,Feb,19.83048351,Ileje
2013,Feb,23.32766348,Kyela
2013,Feb,18.59649213,Mbeya Urban
